,cubeid,cubeidpub,cubename,catid,pa_gaskin,pa_gaskin_err
1575,382731_blue_red_7_Y15SAR2_P002_09T110_2016_02_08-2016_02_14,382731_A,382731_blue_7_Y15SAR2_P002_09T110_2016_02_08-2016_02_14.fits,382731,154.5,0.16666667
1576,382764_blue_red_7_Y15SAR2_P002_09T110_2016_02_08-2016_02_14,382764_A,382764_blue_7_Y15SAR2_P002_09T110_2016_02_08-2016_02_14.fits,382764,145.0,0.16666667
1577,383033_blue_red_7_Y17SAR1_P001_09T125_2017_03_24-2017_04_02,383033_A,383033_blue_7_Y17SAR1_P001_09T125_2017_03_24-2017_04_02.fits,383033,309.5,0.33333334
1578,383130_blue_red_7_Y18SAR1_P001_09T139_2018_03_12-2018_03_22,383130_A,383130_blue_7_Y18SAR1_P001_09T139_2018_03_12-2018_03_22.fits,383130,2.5,0.75
1579,383147_blue_red_7_Y14SBR2_P001_09T088_2015_01_19-2015_01_26,383147_A,383147_blue_7_Y14SBR2_P001_09T088_2015_01_19-2015_01_26.fits,383147,209.5,0.33333334
1580,383259_blue_red_8_Y13SAR1_P010_09T010_2013_03_05-2013_03_17,383259_A,383259_blue_8_Y13SAR1_P010_09T010_2013_03_05-2013_03_17.fits,383259,290.0,0.16666667
1581,383283_blue_red_8_Y13SAR1_P010_09T010_2013_03_05-2013_03_17,383283_A,383283_blue_8_Y13SAR1_P010_09T010_2013_03_05-2013_03_17.fits,383283,21.0,0.16666667
1582,383318_blue_red_8_Y13SAR1_P010_09T010_2013_03_05-2013_03_17,383318_A,383318_blue_8_Y13SAR1_P010_09T010_2013_03_05-2013_03_17.fits,383318,344.0,0.16666667
1583,386264_blue_red_7_Y18SAR1_P002_09T150_2018_03_12-2018_03_22,386264_A,386264_blue_7_Y18SAR1_P002_09T150_2018_03_12-2018_03_22.fits,386264,39.5,0.16666667
1584,386268_blue_red_7_Y13SAR1_P005_09T009_2013_03_05-2013_03_17,386268_A,386268_blue_7_Y13SAR1_P005_09T009_2013_03_05-2013_03_17.fits,386268,284.0,0.16666667
1585,386285_blue_red_7_Y18SAR1_P002_09T150_2018_03_12-2018_03_22,386285_A,386285_blue_7_Y18SAR1_P002_09T150_2018_03_12-2018_03_22.fits,386285,25.0,0.16666667
1586,386286_blue_red_7_Y14SAR1_P006_09T066_2015_02_16-2015_02_25,386286_A,386286_blue_7_Y14SAR1_P006_09T066_2015_02_16-2015_02_25.fits,386286,85.5,0.25
1587,386316_blue_red_7_Y18SAR1_P002_09T150_2018_03_12-2018_03_22,386316_A,386316_blue_7_Y18SAR1_P002_09T150_2018_03_12-2018_03_22.fits,386316,12.0,0.6666667
1588,386366_blue_red_7_Y18SAR1_P002_09T150_2018_03_12-2018_03_22,386366_A,386366_blue_7_Y18SAR1_P002_09T150_2018_03_12-2018_03_22.fits,386366,179.0,0.16666667
1589,386402_blue_red_6_Y17SAR2_P001_09T127_2018_02_12-2018_02_19,386402_A,386402_blue_6_Y17SAR2_P001_09T127_2018_02_12-2018_02_19.fits,386402,179.5,0.16666667
1590,386431_blue_red_6_Y17SAR2_P001_09T127_2018_02_12-2018_02_19,386431_A,386431_blue_6_Y17SAR2_P001_09T127_2018_02_12-2018_02_19.fits,386431,234.0,0.16666667
1591,386673_blue_red_7_Y15SAR2_P003_09T113_2016_02_08-2016_02_14,386673_A,386673_blue_7_Y15SAR2_P003_09T113_2016_02_08-2016_02_14.fits,386673,5.5,0.5
1592,386720_blue_red_7_Y15SAR2_P003_09T113_2016_02_08-2016_02_14,386720_A,386720_blue_7_Y15SAR2_P003_09T113_2016_02_08-2016_02_14.fits,386720,237.0,0.16666667
1593,386722_blue_red_7_Y15SAR2_P003_09T113_2016_02_08-2016_02_14,386722_A,386722_blue_7_Y15SAR2_P003_09T113_2016_02_08-2016_02_14.fits,386722,206.5,0.33333334
1594,386892_blue_red_7_Y15SAR2_P003_09T113_2016_02_08-2016_02_14,386892_A,386892_blue_7_Y15SAR2_P003_09T113_2016_02_08-2016_02_14.fits,386892,101.5,0.25
1595,386898_blue_red_7_Y15SAR2_P003_09T113_2016_02_08-2016_02_14,386898_A,386898_blue_7_Y15SAR2_P003_09T113_2016_02_08-2016_02_14.fits,386898,145.0,0.16666667
1596,387041_blue_red_7_Y18SAR2_P001_09T151_2018_03_12-2018_03_22,387041_A,387041_blue_7_Y18SAR2_P001_09T151_2018_03_12-2018_03_22.fits,387041,178.0,0.16666667
1597,387042_blue_red_7_Y18SAR2_P001_09T151_2018_03_12-2018_03_22,387042_A,387042_blue_7_Y18SAR2_P001_09T151_2018_03_12-2018_03_22.fits,387042,40.5,0.16666667
1598,387080_blue_red_7_Y18SAR2_P001_09T151_2018_03_12-2018_03_22,387080_A,387080_blue_7_Y18SAR2_P001_09T151_2018_03_12-2018_03_22.fits,387080,197.0,0.16666667
1599,387553_blue_red_7_Y15SAR2_P001_09T106_2016_02_08-2016_02_14,387553_A,387553_blue_7_Y15SAR2_P001_09T106_2016_02_08-2016_02_14.fits,387553,356.0,0.16666667
1600,387675_blue_red_7_Y14SBR2_P001_09T087_2015_01_19-2015_01_26,387675_A,387675_blue_7_Y14SBR2_P001_09T087_2015_01_19-2015_01_26.fits,387675,337.5,0.75
1601,387687_blue_red_7_Y14SBR2_P001_09T087_2015_01_19-2015_01_26,387687_A,387687_blue_7_Y14SBR2_P001_09T087_2015_01_19-2015_01_26.fits,387687,113.5,0.25
