,cubeid,cubeidpub,cubename,catid,pa_gaskin,pa_gaskin_err
0,6821_blue_red_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16,6821_A,6821_blue_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16.fits,6821,344.0,0.16666667
1,6837_blue_red_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16,6837_A,6837_blue_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16.fits,6837,289.5,0.16666667
2,7139_blue_red_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16,7139_A,7139_blue_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16.fits,7139,181.0,0.16666667
3,7206_blue_red_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16,7206_A,7206_blue_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16.fits,7206,279.5,0.25
4,7289_blue_red_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16,7289_A,7289_blue_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16.fits,7289,100.0,0.33333334
5,7715_blue_red_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01,7715_A,7715_blue_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01.fits,7715,146.0,0.16666667
6,7839_blue_red_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01,7839_A,7839_blue_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01.fits,7839,107.5,0.16666667
7,7841_blue_red_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01,7841_A,7841_blue_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01.fits,7841,6.0,0.33333334
8,7946_blue_red_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01,7946_A,7946_blue_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01.fits,7946,241.5,0.16666667
9,7969_blue_red_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01,7969_A,7969_blue_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01.fits,7969,300.5,0.16666667
10,7992_blue_red_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01,7992_A,7992_blue_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01.fits,7992,144.5,3.0
11,8319_blue_red_7_Y17SAR3_P002_12T103_2018_02_12-2018_02_19,8319_A,8319_blue_7_Y17SAR3_P002_12T103_2018_02_12-2018_02_19.fits,8319,222.0,1.75
12,8353_blue_red_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25,8353_A,8353_blue_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25.fits,8353,348.0,0.16666667
13,8391_blue_red_7_Y14SAR4_P001_12T063_2014_05_23-2014_06_01,8391_A,8391_blue_7_Y14SAR4_P001_12T063_2014_05_23-2014_06_01.fits,8391,252.0,0.16666667
14,8404_blue_red_7_Y14SAR4_P001_12T063_2014_05_23-2014_06_01,8404_A,8404_blue_7_Y14SAR4_P001_12T063_2014_05_23-2014_06_01.fits,8404,39.0,0.16666667
15,8485_blue_red_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22,8485_A,8485_blue_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22.fits,8485,13.5,0.16666667
16,8487_blue_red_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22,8487_A,8487_blue_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22.fits,8487,193.0,0.41666666
17,8488_blue_red_7_Y15SAR3_P006_12T097_2017_04_19-2017_05_01,8488_A,8488_blue_7_Y15SAR3_P006_12T097_2017_04_19-2017_05_01.fits,8488,218.0,0.16666667
18,8490_blue_red_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25,8490_A,8490_blue_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25.fits,8490,228.5,0.16666667
19,8562_blue_red_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25,8562_A,8562_blue_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25.fits,8562,264.0,0.75
20,8570_blue_red_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22,8570_A,8570_blue_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22.fits,8570,183.5,0.16666667
21,8703_blue_red_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01,8703_A,8703_blue_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01.fits,8703,315.5,0.16666667
22,8706_blue_red_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01,8706_A,8706_blue_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01.fits,8706,253.0,0.16666667
23,8865_blue_red_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01,8865_A,8865_blue_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01.fits,8865,149.0,0.75
24,8913_blue_red_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01,8913_A,8913_blue_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01.fits,8913,138.0,0.6666667
25,9032_blue_red_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22,9032_A,9032_blue_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22.fits,9032,183.5,14.0
26,9062_blue_red_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22,9062_A,9062_blue_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22.fits,9062,288.5,0.16666667
27,9067_blue_red_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22,9067_A,9067_blue_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22.fits,9067,139.5,0.5
28,9112_blue_red_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22,9112_A,9112_blue_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22.fits,9112,292.0,0.16666667
29,9115_blue_red_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22,9115_A,9115_blue_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22.fits,9115,290.0,0.16666667
30,9163_blue_red_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22,9163_A,9163_blue_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22.fits,9163,268.0,0.16666667
31,9352_blue_red_8_Y14SAR3_P005_12T056_2015_01_19-2015_01_26,9352_A,9352_blue_8_Y14SAR3_P005_12T056_2015_01_19-2015_01_26.fits,9352,197.5,0.16666667
32,14552_blue_red_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12,14552_A,14552_blue_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12.fits,14552,245.0,3.8333333
33,14555_blue_red_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12,14555_A,14555_blue_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12.fits,14555,316.5,0.16666667
34,14697_blue_red_7_Y17SAR3_P012_15T129_2018_05_07-2018_05_16,14697_A,14697_blue_7_Y17SAR3_P012_15T129_2018_05_07-2018_05_16.fits,14697,5.0,0.16666667
35,14753_blue_red_7_Y17SAR3_P012_15T129_2018_05_07-2018_05_16,14753_A,14753_blue_7_Y17SAR3_P012_15T129_2018_05_07-2018_05_16.fits,14753,93.5,0.25
36,14812_blue_red_6_Y14SAR2_P007_15T067_2016_05_02-2016_05_10,14812_A,14812_blue_6_Y14SAR2_P007_15T067_2016_05_02-2016_05_10.fits,14812,305.0,0.16666667
37,15165_blue_red_6_Y14SAR4_P001_15T087_2014_05_23-2014_06_01,15165_A,15165_blue_6_Y14SAR4_P001_15T087_2014_05_23-2014_06_01.fits,15165,153.5,0.25
38,15165_blue_red_9_Y15SAR4_P001_15T110_2015_05_14-2015_05_20,15165_B,15165_blue_9_Y15SAR4_P001_15T110_2015_05_14-2015_05_20.fits,15165,148.5,0.33333334
39,15218_blue_red_7_Y14SAR2_P003_15T063_2014_04_02-2014_04_06,15218_A,15218_blue_7_Y14SAR2_P003_15T063_2014_04_02-2014_04_06.fits,15218,143.0,0.25
40,15220_blue_red_6_Y14SAR4_P001_15T087_2014_05_23-2014_06_01,15220_A,15220_blue_6_Y14SAR4_P001_15T087_2014_05_23-2014_06_01.fits,15220,305.5,0.41666666
41,15220_blue_red_9_Y15SAR4_P001_15T110_2015_05_14-2015_05_20,15220_B,15220_blue_9_Y15SAR4_P001_15T110_2015_05_14-2015_05_20.fits,15220,302.0,0.5833333
42,15481_blue_red_8_Y15SAR3_P002_15T108_2015_04_14-2015_04_22,15481_A,15481_blue_8_Y15SAR3_P002_15T108_2015_04_14-2015_04_22.fits,15481,69.5,0.16666667
43,15847_blue_red_7_Y17SAR3_P010_15T133_2018_05_07-2018_05_16,15847_A,15847_blue_7_Y17SAR3_P010_15T133_2018_05_07-2018_05_16.fits,15847,160.0,0.16666667
44,15898_blue_red_7_Y17SAR3_P010_15T133_2018_05_07-2018_05_16,15898_A,15898_blue_7_Y17SAR3_P010_15T133_2018_05_07-2018_05_16.fits,15898,142.5,0.16666667
45,16022_blue_red_7_Y17SAR3_P010_15T133_2018_05_07-2018_05_16,16022_A,16022_blue_7_Y17SAR3_P010_15T133_2018_05_07-2018_05_16.fits,16022,303.0,0.16666667
46,16026_blue_red_7_Y13SAR1_P006_15T011_2013_03_05-2013_03_17,16026_A,16026_blue_7_Y13SAR1_P006_15T011_2013_03_05-2013_03_17.fits,16026,165.5,0.16666667
47,16242_blue_red_11_Y17SAR3_P012_12T136_2018_05_07-2018_05_16,16242_A,16242_blue_11_Y17SAR3_P012_12T136_2018_05_07-2018_05_16.fits,16242,197.5,0.25
48,16294_blue_red_7_Y13SAR1_P006_15T011_2013_03_05-2013_03_17,16294_A,16294_blue_7_Y13SAR1_P006_15T011_2013_03_05-2013_03_17.fits,16294,133.5,0.16666667
49,16310_blue_red_7_Y14SAR2_P006_15T066_2017_03_24-2017_04_02,16310_A,16310_blue_7_Y14SAR2_P006_15T066_2017_03_24-2017_04_02.fits,16310,181.5,0.9166639
50,16317_blue_red_11_Y17SAR3_P012_12T136_2018_05_07-2018_05_16,16317_A,16317_blue_11_Y17SAR3_P012_12T136_2018_05_07-2018_05_16.fits,16317,331.5,0.33333334
51,16382_blue_red_11_Y17SAR3_P012_12T136_2018_05_07-2018_05_16,16382_A,16382_blue_11_Y17SAR3_P012_12T136_2018_05_07-2018_05_16.fits,16382,88.5,1.4166666
52,16392_blue_red_7_Y14SAR2_P006_15T066_2017_03_24-2017_04_02,16392_A,16392_blue_7_Y14SAR2_P006_15T066_2017_03_24-2017_04_02.fits,16392,69.5,5.5
53,16426_blue_red_7_Y14SAR2_P006_15T066_2017_03_24-2017_04_02,16426_A,16426_blue_7_Y14SAR2_P006_15T066_2017_03_24-2017_04_02.fits,16426,267.5,8.333333
54,16429_blue_red_7_Y14SAR2_P006_15T066_2017_03_24-2017_04_02,16429_A,16429_blue_7_Y14SAR2_P006_15T066_2017_03_24-2017_04_02.fits,16429,250.0,0.25
55,16430_blue_red_11_Y17SAR3_P012_12T136_2018_05_07-2018_05_16,16430_A,16430_blue_11_Y17SAR3_P012_12T136_2018_05_07-2018_05_16.fits,16430,214.0,0.8333333
56,16445_blue_red_11_Y17SAR3_P012_12T136_2018_05_07-2018_05_16,16445_A,16445_blue_11_Y17SAR3_P012_12T136_2018_05_07-2018_05_16.fits,16445,190.0,1.75
57,16487_blue_red_7_Y14SAR4_P002_15T088_2014_05_23-2014_06_01,16487_A,16487_blue_7_Y14SAR4_P002_15T088_2014_05_23-2014_06_01.fits,16487,89.0,0.16666667
58,16525_blue_red_7_Y14SAR4_P002_15T088_2014_05_23-2014_06_01,16525_A,16525_blue_7_Y14SAR4_P002_15T088_2014_05_23-2014_06_01.fits,16525,237.5,0.5833333
59,16526_blue_red_7_Y14SAR2_P006_15T066_2017_03_24-2017_04_02,16526_A,16526_blue_7_Y14SAR2_P006_15T066_2017_03_24-2017_04_02.fits,16526,183.5,0.16666667
60,16828_blue_red_7_Y17SAR3_P002_15T125_2018_04_09-2018_04_19,16828_A,16828_blue_7_Y17SAR3_P002_15T125_2018_04_09-2018_04_19.fits,16828,259.0,0.33333334
61,16863_blue_red_9_Y14SAR2_P009_15T069_2017_03_24-2017_04_02,16863_B,16863_blue_9_Y14SAR2_P009_15T069_2017_03_24-2017_04_02.fits,16863,254.5,0.5
62,16863_blue_red_12_Y14SAR2_P009_15T069_2015_08_12-2015_08_17,16863_A,16863_blue_12_Y14SAR2_P009_15T069_2015_08_12-2015_08_17.fits,16863,251.5,0.33333334
63,16920_blue_red_12_Y14SAR2_P009_15T069_2015_08_12-2015_08_17,16920_A,16920_blue_12_Y14SAR2_P009_15T069_2015_08_12-2015_08_17.fits,16920,184.5,0.33333334
64,16920_blue_red_9_Y14SAR2_P009_15T069_2017_03_24-2017_04_02,16920_B,16920_blue_9_Y14SAR2_P009_15T069_2017_03_24-2017_04_02.fits,16920,185.5,1.9166647
65,16926_blue_red_9_Y14SAR2_P009_15T069_2017_03_24-2017_04_02,16926_B,16926_blue_9_Y14SAR2_P009_15T069_2017_03_24-2017_04_02.fits,16926,205.0,0.16666667
66,16926_blue_red_12_Y14SAR2_P009_15T069_2015_08_12-2015_08_17,16926_A,16926_blue_12_Y14SAR2_P009_15T069_2015_08_12-2015_08_17.fits,16926,209.0,0.33333334
67,16948_blue_red_9_Y14SAR2_P009_15T069_2017_03_24-2017_04_02,16948_B,16948_blue_9_Y14SAR2_P009_15T069_2017_03_24-2017_04_02.fits,16948,23.0,0.16666667
68,16948_blue_red_12_Y14SAR2_P009_15T069_2015_08_12-2015_08_17,16948_A,16948_blue_12_Y14SAR2_P009_15T069_2015_08_12-2015_08_17.fits,16948,22.5,0.16666667
69,17273_blue_red_7_Y17SAR3_P003_15T126_2018_04_09-2018_04_19,17273_A,17273_blue_7_Y17SAR3_P003_15T126_2018_04_09-2018_04_19.fits,17273,282.5,0.16666667
70,17314_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01,17314_B,17314_blue_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01.fits,17314,283.5,0.16666667
71,17314_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22,17314_C,17314_blue_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22.fits,17314,285.0,0.16666667
72,17314_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02,17314_A,17314_blue_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02.fits,17314,284.0,0.16666667
73,17390_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02,17390_A,17390_blue_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02.fits,17390,65.5,1.9166666
74,17390_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22,17390_C,17390_blue_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22.fits,17390,59.0,3.0833333
75,17390_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01,17390_B,17390_blue_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01.fits,17390,52.5,0.41666666
76,21836_blue_red_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16,21836_A,21836_blue_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16.fits,21836,7.5,0.5833333
77,21979_blue_red_7_Y16SAR4_P001_12T090_2017_04_19-2017_05_01,21979_A,21979_blue_7_Y16SAR4_P001_12T090_2017_04_19-2017_05_01.fits,21979,69.5,0.8333333
78,22121_blue_red_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16,22121_A,22121_blue_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16.fits,22121,146.5,0.16666667
79,22175_blue_red_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16,22175_A,22175_blue_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16.fits,22175,349.0,0.16666667
80,22178_blue_red_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16,22178_A,22178_blue_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16.fits,22178,280.5,0.16666667
81,22582_blue_red_7_Y15SAR4_P002_12T096_2015_05_14-2015_05_20,22582_A,22582_blue_7_Y15SAR4_P002_12T096_2015_05_14-2015_05_20.fits,22582,210.5,0.16666667
82,22595_blue_red_7_Y15SAR4_P002_12T096_2015_05_14-2015_05_20,22595_A,22595_blue_7_Y15SAR4_P002_12T096_2015_05_14-2015_05_20.fits,22595,347.5,0.16666667
83,22633_blue_red_7_Y15SAR4_P002_12T096_2015_05_14-2015_05_20,22633_A,22633_blue_7_Y15SAR4_P002_12T096_2015_05_14-2015_05_20.fits,22633,318.5,0.25
84,22839_blue_red_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01,22839_A,22839_blue_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01.fits,22839,51.0,0.16666667
85,22862_blue_red_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01,22862_A,22862_blue_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01.fits,22862,303.0,0.25
86,22887_blue_red_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01,22887_A,22887_blue_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01.fits,22887,103.0,0.16666667
87,22932_blue_red_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01,22932_A,22932_blue_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01.fits,22932,183.0,0.16666667
88,23070_blue_red_7_Y14SAR3_P009_12T060_2015_05_14-2015_05_20,23070_A,23070_blue_7_Y14SAR3_P009_12T060_2015_05_14-2015_05_20.fits,23070,82.0,0.33333334
89,23075_blue_red_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01,23075_A,23075_blue_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01.fits,23075,349.5,0.16666667
90,23082_blue_red_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01,23082_A,23082_blue_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01.fits,23082,303.5,0.41666666
91,23117_blue_red_7_Y14SAR3_P009_12T060_2015_05_14-2015_05_20,23117_A,23117_blue_7_Y14SAR3_P009_12T060_2015_05_14-2015_05_20.fits,23117,215.0,0.16666667
92,23225_blue_red_8_Y17SAR3_P005_12T106_2018_05_07-2018_05_16,23225_A,23225_blue_8_Y17SAR3_P005_12T106_2018_05_07-2018_05_16.fits,23225,128.0,10.333332
93,23259_blue_red_8_Y17SAR3_P005_12T106_2018_05_07-2018_05_16,23259_A,23259_blue_8_Y17SAR3_P005_12T106_2018_05_07-2018_05_16.fits,23259,259.5,0.16666667
94,23265_blue_red_11_Y14SAR1_P003_12T043_2015_02_16-2015_02_25,23265_A,23265_blue_11_Y14SAR1_P003_12T043_2015_02_16-2015_02_25.fits,23265,168.5,1.25
95,23337_blue_red_7_Y14SAR1_P001_12T041_2015_02_16-2015_02_25,23337_A,23337_blue_7_Y14SAR1_P001_12T041_2015_02_16-2015_02_25.fits,23337,317.0,0.16666667
96,23341_blue_red_8_Y17SAR3_P005_12T106_2018_05_07-2018_05_16,23341_A,23341_blue_8_Y17SAR3_P005_12T106_2018_05_07-2018_05_16.fits,23341,140.0,0.16666667
97,23519_blue_red_7_Y15SAR4_P001_12T091_2015_05_14-2015_05_20,23519_A,23519_blue_7_Y15SAR4_P001_12T091_2015_05_14-2015_05_20.fits,23519,88.5,0.5833333
98,23565_blue_red_7_Y15SAR4_P001_12T091_2015_05_14-2015_05_20,23565_A,23565_blue_7_Y15SAR4_P001_12T091_2015_05_14-2015_05_20.fits,23565,210.0,0.16666667
99,23578_blue_red_7_Y15SAR4_P001_12T091_2015_05_14-2015_05_20,23578_A,23578_blue_7_Y15SAR4_P001_12T091_2015_05_14-2015_05_20.fits,23578,49.0,0.16666667
100,23591_blue_red_7_Y14SAR4_P001_12T063_2014_05_23-2014_06_01,23591_A,23591_blue_7_Y14SAR4_P001_12T063_2014_05_23-2014_06_01.fits,23591,57.5,0.33333334
101,23593_blue_red_7_Y14SAR4_P001_12T063_2014_05_23-2014_06_01,23593_A,23593_blue_7_Y14SAR4_P001_12T063_2014_05_23-2014_06_01.fits,23593,20.5,0.5833333
102,23619_blue_red_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25,23619_A,23619_blue_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25.fits,23619,256.0,0.25
103,23623_blue_red_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22,23623_A,23623_blue_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22.fits,23623,128.5,1.1666666
104,23669_blue_red_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25,23669_A,23669_blue_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25.fits,23669,185.0,0.16666667
105,23737_blue_red_7_Y14SAR4_P001_12T063_2014_05_23-2014_06_01,23737_A,23737_blue_7_Y14SAR4_P001_12T063_2014_05_23-2014_06_01.fits,23737,277.5,0.16666667
106,23865_blue_red_7_Y15SAR3_P006_12T097_2017_04_19-2017_05_01,23865_A,23865_blue_7_Y15SAR3_P006_12T097_2017_04_19-2017_05_01.fits,23865,135.5,0.8333333
107,23868_blue_red_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22,23868_A,23868_blue_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22.fits,23868,196.5,0.16666667
108,24013_blue_red_7_Y18SAR3_P001_12T125_2018_04_09-2018_04_19,24013_A,24013_blue_7_Y18SAR3_P001_12T125_2018_04_09-2018_04_19.fits,24013,27.5,0.16666667
109,24414_blue_red_8_Y14SAR3_P005_12T056_2015_01_19-2015_01_26,24414_A,24414_blue_8_Y14SAR3_P005_12T056_2015_01_19-2015_01_26.fits,24414,122.0,0.16666667
110,24433_blue_red_8_Y14SAR3_P005_12T056_2015_01_19-2015_01_26,24433_A,24433_blue_8_Y14SAR3_P005_12T056_2015_01_19-2015_01_26.fits,24433,11.0,0.16666667
111,28654_blue_red_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12,28654_A,28654_blue_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12.fits,28654,253.0,0.16666667
112,28738_blue_red_6_Y14SAR2_P007_15T067_2016_05_02-2016_05_10,28738_A,28738_blue_6_Y14SAR2_P007_15T067_2016_05_02-2016_05_10.fits,28738,236.0,0.16666667
113,28860_blue_red_11_Y14SAR3_P004_15T079_2014_04_24-2014_05_04,28860_A,28860_blue_11_Y14SAR3_P004_15T079_2014_04_24-2014_05_04.fits,28860,260.0,0.16666667
114,28860_blue_red_7_Y14SAR3_P004_15T079_2014_04_24-2014_05_04,28860_B,28860_blue_7_Y14SAR3_P004_15T079_2014_04_24-2014_05_04.fits,28860,260.0,0.16666667
115,30346_blue_red_7_Y14SAR4_P004_12T066_2017_03_24-2017_04_02,30346_B,30346_blue_7_Y14SAR4_P004_12T066_2017_03_24-2017_04_02.fits,30346,33.0,0.16666667
116,30346_blue_red_9_Y14SAR4_P004_12T066_2014_05_23-2014_06_01,30346_A,30346_blue_9_Y14SAR4_P004_12T066_2014_05_23-2014_06_01.fits,30346,34.0,0.16666667
117,30361_blue_red_9_Y14SAR4_P004_12T066_2014_05_23-2014_06_01,30361_A,30361_blue_9_Y14SAR4_P004_12T066_2014_05_23-2014_06_01.fits,30361,25.5,0.16666667
118,30361_blue_red_7_Y17SAR3_P001_12T102_2018_02_12-2018_02_19,30361_C,30361_blue_7_Y17SAR3_P001_12T102_2018_02_12-2018_02_19.fits,30361,170.0,0.16666667
119,30361_blue_red_7_Y14SAR4_P004_12T066_2017_03_24-2017_04_02,30361_B,30361_blue_7_Y14SAR4_P004_12T066_2017_03_24-2017_04_02.fits,30361,252.0,0.16666667
120,30377_blue_red_8_Y13SAR1_P015_12T014_2013_04_12-2013_04_16,30377_A,30377_blue_8_Y13SAR1_P015_12T014_2013_04_12-2013_04_16.fits,30377,297.0,5.5833335
121,30469_blue_red_7_Y18SAR4_P001_12T128_2018_05_07-2018_05_16,30469_A,30469_blue_7_Y18SAR4_P001_12T128_2018_05_07-2018_05_16.fits,30469,311.0,0.16666667
122,30472_blue_red_7_Y17SAR3_P001_12T102_2018_02_12-2018_02_19,30472_C,30472_blue_7_Y17SAR3_P001_12T102_2018_02_12-2018_02_19.fits,30472,300.0,0.25
123,30472_blue_red_9_Y14SAR4_P004_12T066_2014_05_23-2014_06_01,30472_A,30472_blue_9_Y14SAR4_P004_12T066_2014_05_23-2014_06_01.fits,30472,308.5,1.6666666
124,30472_blue_red_7_Y14SAR4_P004_12T066_2017_03_24-2017_04_02,30472_B,30472_blue_7_Y14SAR4_P004_12T066_2017_03_24-2017_04_02.fits,30472,305.5,0.5
125,30615_blue_red_7_Y18SAR3_P001_12T123_2018_04_09-2018_04_19,30615_A,30615_blue_7_Y18SAR3_P001_12T123_2018_04_09-2018_04_19.fits,30615,144.0,0.16666667
126,30784_blue_red_7_Y18SAR3_P001_12T123_2018_04_09-2018_04_19,30784_A,30784_blue_7_Y18SAR3_P001_12T123_2018_04_09-2018_04_19.fits,30784,337.0,0.33333334
127,30786_blue_red_7_Y18SAR3_P001_12T123_2018_04_09-2018_04_19,30786_A,30786_blue_7_Y18SAR3_P001_12T123_2018_04_09-2018_04_19.fits,30786,190.0,0.16666667
128,30847_blue_red_7_Y17SAR3_P008_12T109_2018_04_09-2018_04_19,30847_A,30847_blue_7_Y17SAR3_P008_12T109_2018_04_09-2018_04_19.fits,30847,244.0,0.16666667
129,30890_blue_red_7_Y14SAR4_P006_12T068_2014_05_23-2014_06_01,30890_A,30890_blue_7_Y14SAR4_P006_12T068_2014_05_23-2014_06_01.fits,30890,104.5,0.16666667
130,30913_blue_red_7_Y14SAR3_P006_12T057_2016_04_04-2016_04_12,30913_A,30913_blue_7_Y14SAR3_P006_12T057_2016_04_04-2016_04_12.fits,30913,334.5,0.41666666
131,30914_blue_red_7_Y14SAR4_P006_12T068_2014_05_23-2014_06_01,30914_A,30914_blue_7_Y14SAR4_P006_12T068_2014_05_23-2014_06_01.fits,30914,141.0,0.16666667
132,30916_blue_red_7_Y17SAR3_P008_12T109_2018_04_09-2018_04_19,30916_A,30916_blue_7_Y17SAR3_P008_12T109_2018_04_09-2018_04_19.fits,30916,274.0,0.16666667
133,31079_blue_red_7_Y17SAR3_P006_12T107_2018_04_09-2018_04_19,31079_A,31079_blue_7_Y17SAR3_P006_12T107_2018_04_09-2018_04_19.fits,31079,263.0,0.16666667
134,31129_blue_red_7_Y17SAR3_P006_12T107_2018_04_09-2018_04_19,31129_A,31129_blue_7_Y17SAR3_P006_12T107_2018_04_09-2018_04_19.fits,31129,118.0,0.16666667
135,31353_blue_red_7_Y14SAR3_P011_12T062_2016_05_02-2016_05_10,31353_A,31353_blue_7_Y14SAR3_P011_12T062_2016_05_02-2016_05_10.fits,31353,276.5,0.16666667
136,31448_blue_red_7_Y17SAR3_P010_12T115_2018_04_09-2018_04_19,31448_A,31448_blue_7_Y17SAR3_P010_12T115_2018_04_09-2018_04_19.fits,31448,356.0,0.25
137,31452_blue_red_8_Y14SAR3_P001_12T052_2014_04_24-2014_05_04,31452_A,31452_blue_8_Y14SAR3_P001_12T052_2014_04_24-2014_05_04.fits,31452,94.5,0.16666667
138,31509_blue_red_8_Y14SAR3_P001_12T052_2014_04_24-2014_05_04,31509_A,31509_blue_8_Y14SAR3_P001_12T052_2014_04_24-2014_05_04.fits,31509,88.5,0.16666667
139,31620_blue_red_13_Y14SAR3_P003_12T054_2014_04_24-2014_05_04,31620_A,31620_blue_13_Y14SAR3_P003_12T054_2014_04_24-2014_05_04.fits,31620,36.5,0.16666667
140,31620_blue_red_7_Y15SAR3_P003_12T088_2016_02_08-2016_02_14,31620_C,31620_blue_7_Y15SAR3_P003_12T088_2016_02_08-2016_02_14.fits,31620,39.0,0.16666667
