,catid,photometry,remge,mmge,rextinction,pamge,epsmge_re,epsmge_lw,dist2nneigh,chi2
2905,9239900540,SDSS,2.3027997,16.676012,0.076,50.131104,2.220446e-16,5.9604645e-08,13.678429,5.339127
2906,9239900555,SDSS,5.148897,15.109821,0.112,146.32947,0.2375435,0.19208145,13.962348,5.2662373
2907,9239900565,SDSS,3.5676937,16.610653,0.079,37.552246,0.12465317,0.1372205,8.099021,4.4917054
2908,9239900567,SDSS,1.7668307,17.375748,0.078,10.533478,0.24484353,0.43587196,15.993943,5.516733
2909,9239900579,SDSS,0.8974793,18.91763,0.112,5.949463,0.007663328,0.07583457,21.520466,2.698271
2910,9239900588,SDSS,2.5770154,15.865854,0.107,158.26355,0.25440785,0.38106698,16.7556,2.7239707
2911,9239900615,SDSS,6.757642,15.527286,0.076,61.954834,0.13974035,0.18868405,16.630005,2.8026726
2912,9239900630,SDSS,4.665916,15.244625,0.074,129.65488,0.30697837,0.32284105,23.485247,6.0064025
2913,9239900641,SDSS,3.0930412,15.613145,0.073,136.26251,0.7143296,0.63701224,6.6189904,3.0677335
2914,9239900643,SDSS,2.0588553,17.33705,0.087,41.790283,0.70592445,0.78719103,6.7034125,11.205889
2915,9239900645,SDSS,2.2931724,16.774414,0.081,30.851501,0.100108705,0.19083852,5.2893243,6.1649365
2916,9239900659,SDSS,2.307987,17.019209,0.072,143.80496,0.21261926,0.27617657,13.404305,3.5110362
2917,9239900663,SDSS,4.126266,15.873223,0.082,115.79529,0.19933641,0.21716404,18.549032,3.6885364
2918,9239900778,SDSS,4.0347743,16.314463,0.089,167.54982,0.09754576,0.122956276,17.321945,8.453504
2919,9239900803,SDSS,1.4946939,16.935314,0.086,138.78888,0.13882127,0.2858969,11.045214,6.2146006
2920,9239900821,SDSS,1.0999011,16.860748,0.084,145.84906,0.19169642,0.4078182,17.76324,3.9527442
2921,9239900827,SDSS,3.4317677,16.10621,0.085,28.378418,0.27100697,0.16683125,12.569074,4.5579357
2922,9239900852,SDSS,3.7214375,16.198738,0.084,70.334274,0.41755673,0.37512952,13.760988,2.4373088
2923,9239900947,SDSS,4.6575856,16.552279,0.088,158.09836,0.8276509,0.48987526,24.840109,5.2828436
2924,9239900970,SDSS,1.1332237,17.460297,0.089,30.399399,1.110223e-16,0.0,9.129906,7.8548903
2925,9239901001,SDSS,3.4138572,15.149737,0.089,58.499405,0.06653099,0.118784666,20.110653,3.5422127
2926,9239901020,SDSS,0.76605034,17.008503,0.087,4.42395,0.024083508,0.20502055,18.813229,5.1212416
2927,9239901025,SDSS,2.3219748,17.36228,0.075,33.062775,0.4226202,0.35239542,14.874319,3.1283042
2928,9239901098,SDSS,2.5673292,17.134789,0.077,92.8497,0.22356328,0.24036336,13.908326,4.354028
2929,9239901116,SDSS,2.9644878,16.493595,0.087,121.59894,0.40480602,0.36177063,15.710406,4.7262154
2930,9239901179,SDSS,1.2698618,16.65369,0.089,120.804016,0.09762152,0.13939553,10.738567,3.3524761
2931,9239901253,SDSS,0.89558226,17.238626,0.065,65.54083,0.17906755,0.47744077,17.676605,3.451359
2932,9239901328,SDSS,2.7432017,16.270527,0.072,179.03809,0.09430719,0.19225246,7.468754,4.711989
2933,9239901360,SDSS,7.3934326,15.197055,0.091,78.06387,0.15766943,0.109142184,12.8051815,13.109637
2934,9239901557,SDSS,2.1939545,16.738281,0.09,84.81387,0.2822077,0.47170138,13.61915,4.976351
2935,9388000001,VST,9.251711,14.031748,0.035,2.6251526,0.052198585,0.08431232,10.092709,1.3406821
