,catid,cubeid,age_re_mge,z_re_mge,alpha_re_mge,age_re_mge_err,z_re_mge_err,alpha_re_mge_err,age_re,z_re,alpha_re,age_re_err,z_re_err,alpha_re_err,age_3kpc_round,z_3kpc_round,alpha_3kpc_round,age_3kpc_round_err,z_3kpc_round_err,alpha_3kpc_round_err,age_1_4_arcsecond,z_1_4_arcsecond,alpha_1_4_arcsecond,age_1_4_arcsecond_err,z_1_4_arcsecond_err,alpha_1_4_arcsecond_err,age_2_arcsecond,z_2_arcsecond,alpha_2_arcsecond,age_2_arcsecond_err,z_2_arcsecond_err,alpha_2_arcsecond_err,age_3_arcsecond,z_3_arcsecond,alpha_3_arcsecond,age_3_arcsecond_err,z_3_arcsecond_err,alpha_3_arcsecond_err,age_4_arcsecond,z_4_arcsecond,alpha_4_arcsecond,age_4_arcsecond_err,z_4_arcsecond_err,alpha_4_arcsecond_err,catidpub
0,9044200047,9044200047_7_Y13SBR2_P002_EDCC0442T003_2013_10_02-2013_10_08,3.2313946874539026,-0.13600000739097595,0.0949999988079071,0.8961217403411865,0.11050000041723251,0.12150000035762787,3.1578391641788226,-0.13600000739097595,0.08500000089406967,0.8465098738670349,0.12049999833106995,0.12150000035762787,5.487695516567193,-0.13600000739097595,0.2160000056028366,2.366605520248413,0.13099999725818634,0.14650000631809235,4.6707863962229785,-0.13600000739097595,0.16599999368190765,2.314030885696411,0.17100000381469727,0.1720000058412552,4.7795829876952505,-0.11500000208616257,0.20600000023841858,2.158369779586792,0.16100001335144043,0.16200000047683716,5.487695516567193,-0.15600000321865082,0.2370000034570694,2.366605520248413,0.14100000262260437,0.14149999618530273,5.7463226384084365,-0.15600000321865082,0.2160000056028366,2.782076835632324,0.13050000369548798,0.14149999618530273,9044200047_A
1,9011900691,9011900691_7_Y15SBR2_P006_A0119T027_2017_09_14-2017_09_26,5.121415442300698,-0.5989999771118164,0.11500000208616257,7.8091278076171875,0.5034999847412109,0.37450000643730164,2.9470669811950616,-0.5789999961853027,-0.01600000075995922,3.244361162185669,0.43300002813339233,0.34450000524520874,2.3954659754949557,-0.5180000066757202,-0.006000000052154064,3.4185969829559326,0.4830000102519989,0.3695000112056732,7.069521289046108,-0.7799999713897705,-99.0,7.506339073181152,0.4429999589920044,-99.0,5.240708532664743,-0.7599999904632568,-99.0,7.725415229797363,0.5335000157356262,-99.0,2.3954659754949557,-0.4779999852180481,-0.006000000052154064,3.4185969829559326,0.4935000240802765,0.3644999861717224,2.2876522466642895,-0.4779999852180481,-0.006000000052154064,2.802399158477783,0.4429999887943268,0.34450000524520874,9011900691_A
2,619989,619989_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01,2.0388722109633184,-0.6790000200271606,0.07500000298023224,0.8771811723709106,0.2720000147819519,0.22299998998641968,1.9924618133258227,-0.6790000200271606,0.06499999761581421,0.9927347302436829,0.2619999945163727,0.21799999475479126,1.9924618133258227,-0.6790000200271606,0.10499999672174454,0.8771811723709106,0.25200000405311584,0.2280000001192093,1.8594735564600955,-0.5989999771118164,0.04399999976158142,0.7682560086250305,0.31200000643730164,0.23250000178813934,1.5826686749346415,-0.43799999356269836,0.05400000140070915,0.5200110673904419,0.33249998092651367,0.21250000596046448,1.775783460322303,-0.5789999961853027,0.06499999761581421,0.5203543305397034,0.28200000524520874,0.21299999952316284,1.9924618133258227,-0.6790000200271606,0.07500000298023224,0.9533266425132751,0.26200002431869507,0.2279999852180481,619989_B
3,227289,227289_6_Y14SAR2_P007_15T067_2016_05_02-2016_05_10,2.750362934937096,-1.1629999876022339,0.17599999904632568,0.9249504804611206,0.24149996042251587,0.4000000059604645,2.8799835466736923,-1.1829999685287476,0.20600000023841858,0.7832694053649902,0.2619999945163727,0.37450000643730164,2.134961297927347,-0.9210000038146973,0.11500000208616257,1.467150330543518,0.32249999046325684,0.37950000166893005,5.240708532664743,-0.8199999928474426,-99.0,7.86704158782959,0.5740000009536743,-99.0,3.015712989638904,-0.7400000095367432,-99.0,2.6762704849243164,0.5034999847412109,-99.0,2.4512635459709684,-0.7599999904632568,0.22699999809265137,1.7879235744476318,0.4129999876022339,0.32899999618530273,2.508360808825364,-0.8600000143051147,0.0949999988079071,1.6570121049880981,0.36250001192092896,0.4000000059604645,227289_A
4,546073,546073_12_Y14SAR4_P010_15T096_2016_04_04-2016_04_12,1.200576965506572,-1.121999979019165,0.014000000432133675,0.21806327998638153,0.32200002670288086,0.4000000059604645,1.2285419954965675,-1.1629999876022339,0.024000000208616257,0.23649583756923676,0.3225000202655792,0.4000000059604645,1.200576965506572,-1.1829999685287476,0.08500000089406967,0.20005032420158386,0.3425000011920929,0.4000000059604645,0.9758655945674347,-1.3639999628067017,-0.30000001192092896,0.11522180587053299,0.8355000019073486,0.4000000059604645,1.0700153468094975,-1.2230000495910645,-0.21899999678134918,0.14162424206733704,0.5440000295639038,0.4000000059604645,1.200576965506572,-1.1629999876022339,0.05400000140070915,0.21309955418109894,0.33250001072883606,0.4000000059604645,1.200576965506572,-1.1629999876022339,0.05400000140070915,0.20005032420158386,0.3425000011920929,0.4000000059604645,546073_A
5,136917,136917_7_Y14SAR1_P004_12T044_2015_02_16-2015_02_25,2.750362934937096,-1.0219999551773071,0.0949999988079071,0.8820759057998657,0.2615000009536743,0.37950000166893005,2.626576211733084,-1.0010000467300415,0.06499999761581421,0.8632140159606934,0.2720000147819519,0.4000000059604645,2.8799835466736923,-1.0010000467300415,0.17599999904632568,0.923646867275238,0.24150002002716064,0.34450000524520874,3.884990906937478,-1.2630000114440918,0.328000009059906,1.3046859502792358,0.4634999930858612,0.4000000059604645,3.3066635389648362,-1.0820000171661377,0.1860000044107437,1.1461507081985474,0.31199997663497925,0.4000000059604645,2.626576211733084,-1.0010000467300415,0.13500000536441803,1.0571237802505493,0.29200002551078796,0.38999998569488525,2.8799835466736923,-1.0010000467300415,0.2160000056028366,0.8632140159606934,0.26200002431869507,0.33899998664855957,136917_A
6,99511,99511_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22,3.383685627252995,-1.1629999876022339,-0.21899999678134918,1.4874632358551025,0.5534999966621399,0.4000000059604645,4.162842757456065,-1.1829999685287476,-99.0,1.7006659507751465,0.5134999752044678,-99.0,3.625684472456604,-1.2230000495910645,-0.11800000071525574,1.330839991569519,0.5440000295639038,0.4000000059604645,4.359031492379173,-1.2829999923706055,-99.0,2.2556488513946533,0.624500036239624,-99.0,4.162842757456065,-1.2430000305175781,-99.0,1.9653874635696411,0.5440000295639038,-99.0,3.4625017904490982,-1.3240000009536743,-0.09700000286102295,1.4145523309707642,0.5739999413490295,0.4000000059604645,3.383685627252995,-1.3040000200271606,0.125,1.5975269079208374,0.5134999752044678,0.4000000059604645,99511_A
7,9239900150,9239900150_7_Y13SBR1_P006_A2399T004_2013_08_30-2013_09_04,2.9470669811950616,0.22699999809265137,0.24699999392032623,1.7543888092041016,0.22150000929832458,0.16699999570846558,3.015712989638904,0.16699999570846558,0.2669999897480011,1.7251752614974976,0.21149998903274536,0.16699999570846558,3.085957969027533,0.36800000071525574,0.17599999904632568,1.2474195957183838,0.25200000405311584,0.16200000047683716,3.085957969027533,0.48899999260902405,0.1860000044107437,1.3661738634109497,0.24150000512599945,0.16700001060962677,3.1578391641788226,0.40799999237060547,0.16599999368190765,1.0765033960342407,0.2515000104904175,0.1469999998807907,3.015712989638904,0.24699999392032623,0.2160000056028366,1.7251752614974976,0.24150000512599945,0.16699999570846558,2.9470669811950616,0.1459999978542328,0.24699999392032623,2.092276096343994,0.2214999943971634,0.16699999570846558,9239900150_A
8,185914,185914_7_Y17SAR3_P007_12T108_2018_04_09-2018_04_19,3.543153817926126,0.10599999874830246,0.17599999904632568,1.1384111642837524,0.1509999930858612,0.1419999897480011,3.1578391641788226,0.04600000008940697,0.15600000321865082,0.8662276268005371,0.17100000381469727,0.16200000047683716,5.487695516567193,0.04600000008940697,0.296999990940094,2.2868714332580566,0.1809999942779541,0.18199999630451202,5.487695516567193,0.04600000008940697,0.296999990940094,4.040867805480957,0.1809999942779541,0.18199999630451202,5.6155203658737225,0.10599999874830246,0.24699999392032623,3.658233880996704,0.19099999964237213,0.1769999861717224,5.487695516567193,0.10599999874830246,0.25699999928474426,2.095721483230591,0.19099999964237213,0.18199999630451202,5.487695516567193,0.10599999874830246,0.22699999809265137,1.5704082250595093,0.1809999942779541,0.17750000953674316,185914_A
9,203729,203729_7_Y16SAR2_P002_09T118_2016_03_03-2016_03_13,2.3954659754949557,-2.1689999103546143,0.49000000953674316,0.48859864473342896,0.39249998331069946,0.4000000059604645,2.56678803778268,-1.7869999408721924,0.06499999761581421,0.4611301124095917,0.372499942779541,0.4000000059604645,2.4512635459709684,-1.5850000381469727,0.20600000023841858,0.4646746814250946,0.43299996852874756,0.4000000059604645,2.3409385127868907,-2.1689999103546143,0.49000000953674316,0.4336596429347992,0.33249998092651367,0.4000000059604645,2.134961297927347,-2.190000057220459,0.49000000953674316,0.4872897267341614,0.39249998331069946,0.4000000059604645,2.3954659754949557,-1.6859999895095825,0.125,0.46643784642219543,0.45350003242492676,0.4000000059604645,2.3954659754949557,-1.5850000381469727,0.16599999368190765,0.48842039704322815,0.43299996852874756,0.4000000059604645,203729_A
