,cubeidpub,cubeid,cubename,catid,cubefwhm,cubetexp,meantrans,isbest,catsource,warnstar,warnfill,warnz,warnmult,warnakpc,warnare,warnamge,warnsk2m,warnsk4m,warnsk4mhsn,warnfcal,warnfcbr,warnskyb,warnskyr,warnsker,warnwcs,warnre,warnskem,warnemft
732,71099_A,71099_8_Y14SAR4_P010_12T072_2016_04_04-2016_04_12,71099_blue_8_Y14SAR4_P010_12T072_2016_04_04-2016_04_12.fits,71099,2.0727983,14400.0,0.6305813,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
733,71117_A,71117_8_Y14SAR4_P010_12T072_2016_04_04-2016_04_12,71117_blue_8_Y14SAR4_P010_12T072_2016_04_04-2016_04_12.fits,71117,2.0727983,14400.0,0.6305813,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734,71146_A,71146_8_Y14SAR4_P010_12T072_2016_04_04-2016_04_12,71146_blue_8_Y14SAR4_P010_12T072_2016_04_04-2016_04_12.fits,71146,2.0727983,14400.0,0.6305813,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735,71178_A,71178_8_Y14SAR4_P010_12T072_2016_04_04-2016_04_12,71178_blue_8_Y14SAR4_P010_12T072_2016_04_04-2016_04_12.fits,71178,2.0727983,14400.0,0.6305813,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
736,71269_A,71269_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01,71269_blue_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01.fits,71269,2.5025103,10800.0,1.0198607,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
737,71352_A,71352_7_Y14SAR4_P003_12T065_2014_05_23-2014_06_01,71352_blue_7_Y14SAR4_P003_12T065_2014_05_23-2014_06_01.fits,71352,1.6811552,12300.0,0.86031085,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
738,71382_A,71382_7_Y14SAR4_P003_12T065_2014_05_23-2014_06_01,71382_blue_7_Y14SAR4_P003_12T065_2014_05_23-2014_06_01.fits,71382,1.6811552,12300.0,0.86031085,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
739,7139_A,7139_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16,7139_blue_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16.fits,7139,1.4988208,12600.0,0.89237726,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,718921_A,718921_7_Y17SAR3_P010_15T133_2018_05_07-2018_05_16,718921_blue_7_Y17SAR3_P010_15T133_2018_05_07-2018_05_16.fits,718921,2.100327,11130.0,1.0261573,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
741,7206_A,7206_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16,7206_blue_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16.fits,7206,1.4988208,12600.0,0.89237726,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
742,7289_A,7289_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16,7289_blue_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16.fits,7289,1.4988208,12600.0,0.89237726,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
743,751043_A,751043_7_Y15SAR3_P006_12T097_2017_04_19-2017_05_01,751043_blue_7_Y15SAR3_P006_12T097_2017_04_19-2017_05_01.fits,751043,1.8462454,12600.0,0.9271331,True,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
744,760733_A,760733_7_Y14SAR4_P003_12T065_2014_05_23-2014_06_01,760733_blue_7_Y14SAR4_P003_12T065_2014_05_23-2014_06_01.fits,760733,1.6811552,12300.0,0.86031085,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
745,7715_A,7715_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01,7715_blue_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01.fits,7715,1.8098305,12600.0,0.9958481,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
746,77226_A,77226_7_Y14SAR3_P010_15T085_2016_05_02-2016_05_10,77226_blue_7_Y14SAR3_P010_15T085_2016_05_02-2016_05_10.fits,77226,1.528399,11200.0,1.0055962,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
747,77227_A,77227_7_Y14SAR3_P010_15T085_2016_05_02-2016_05_10,77227_blue_7_Y14SAR3_P010_15T085_2016_05_02-2016_05_10.fits,77227,1.528399,11200.0,1.0055962,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
748,77373_A,77373_7_Y14SAR3_P010_15T085_2016_05_02-2016_05_10,77373_blue_7_Y14SAR3_P010_15T085_2016_05_02-2016_05_10.fits,77373,1.528399,11200.0,1.0055962,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
749,77445_A,77445_12_Y17SAR2_P003_15T119_2017_04_19-2017_05_01,77445_blue_12_Y17SAR2_P003_15T119_2017_04_19-2017_05_01.fits,77445,1.4813128,19300.0,0.90583944,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,77445_B,77445_7_Y17SAR2_P003_15T119_2018_03_12-2018_03_22,77445_blue_7_Y17SAR2_P003_15T119_2018_03_12-2018_03_22.fits,77445,1.4842017,10500.0,0.8938907,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751,77446_A,77446_7_Y14SAR3_P010_15T085_2016_05_02-2016_05_10,77446_blue_7_Y14SAR3_P010_15T085_2016_05_02-2016_05_10.fits,77446,1.528399,11200.0,1.0055962,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
752,77452_A,77452_12_Y17SAR2_P003_15T119_2017_04_19-2017_05_01,77452_blue_12_Y17SAR2_P003_15T119_2017_04_19-2017_05_01.fits,77452,1.4813128,19300.0,0.90583944,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
